name_pub,street_name,postcode,latitude,longitude,borough
The Barking Dog,"The Barking Dog Ph, 61 Station Parade, Barking",IG11 8TU,51.539531,0.080819,Barking and Dagenham
The Bowl Bar (City Pavilion),"Collier Row Road, Romford",RM5 2BH,51.595516,0.147456,Barking and Dagenham
The Cedars Club,"Cedars Club, Mill Lane, Chadwell Heath",RM6 6TT,51.572857,0.135954,Barking and Dagenham
The Cherry Tree Ph,"Wood Lane, Dagenham",RM8 3LJ,51.552649,0.13456,Barking and Dagenham
The Club,"The Club, 121 Broad Street, Dagenham",RM10 9HP,51.536587,0.150838,Barking and Dagenham
The Cross Keys,"Crown Street, Dagenham",RM10 9XA,51.539372,0.159319,Barking and Dagenham
The Harrow,"The Harrow Ph, Billet Road, Romford",RM6 5PT,51.588852,0.136126,Barking and Dagenham
The Jolly Fisherman PH,"The Jolly Fisherman Ph, 108 North Street, Barking",IG11 8LA,51.541229,0.07435,Barking and Dagenham
The Lighterman,"109 Bastable Avenue, Barking",IG11 0NX,51.528594,0.103158,Barking and Dagenham
The Royal Oak,"Royal Oak, 203 Longbridge Road, Barking",IG11 8UF,51.546476,0.091853,Barking and Dagenham
The Ship & Shovel,"Ripple Road, Barking",IG11 0SN,51.53224,0.116432,Barking and Dagenham
The Spotted Dog,"13-15 Longbridge Road, Barking",IG11 8TN,51.54024,0.081962,Barking and Dagenham
The Three Travellers,"The Three Travellers Ph, Wood Lane, Dagenham",RM10 7DS,51.560905,0.149792,Barking and Dagenham
The Victoria,"The Victoria Ph, Axe Street, Barking",IG11 7LZ,51.535592,0.079328,Barking and Dagenham
The White Horse,"118 High Road, Chadwell Heath",RM6 6NU,51.571715,0.13691,Barking and Dagenham
Tollgate Tavern Public House,"High Road, Chadwell Heath",RM6 6QT,51.572499,0.141305,Barking and Dagenham
Ace Of Club's,"Wingate And Finchley Football Club,  Summers Lane, London",N12 0PD,51.606027,-0.172783,Barnet
Age Concern Barnet,"Meritage Club,  Church End, London",NW4 4JT,51.591187,-0.227097,Barnet
Ahir Lorenzo's Bar Restaurant,"298 Nether Street, London",N3 1RJ,51.602747,-0.195571,Barnet
Albanian Association,"Albanian Association,  Summers Lane, London",N12 0PD,51.606027,-0.172783,Barnet
Arkley Golf Club,"Arkley Golf Club, 49 Rowley Green Road, Barnet",EN5 3HL,51.647769,-0.238636,Barnet
Bald Faced Stag,"Bald Faced Stag, 69 High Road, London",N2 8AB,51.589149,-0.164741,Barnet
Barnet Copthall Leisure Centre,"Barnet Copthall Leisure Centre,  Champions Way, London",NW4 1PX,51.605174,-0.226812,Barnet
Barnet Pool Club,"101 High Street, Barnet",EN5 5UZ,51.655777,-0.202198,Barnet
Blarneys Free House,"128 Burnt Oak Broadway, Edgware",HA8 0BB,51.601217,-0.267686,Barnet
Bodens,"99 East Barnet Road, Barnet",EN4 8RF,51.648277,-0.168396,Barnet
Brondesbury Cricket Tennis Bowls & Squash Club,"Brondesbury Cricket Tennis And Squash Club, 5 Harman Drive, London",NW2 2EB,51.558588,-0.206898,Barnet
Builders Arms,"Builders Arms, 3 Albert Road, Barnet",EN4 9SH,51.650889,-0.173307,Barnet
Camden Playing Fields Sports And Social Club,"Old Camdenians Football Club,  Burtonhole Lane, London",NW7 1AS,51.620624,-0.216777,Barnet
Catcher In The Rye,"315 Regents Park Road, London",N3 1DP,51.599697,-0.196039,Barnet
Cavalier Public House,"67 Russell Lane, London",N20 0BB,51.629715,-0.15796,Barnet
Cricklewood Trades Hall Club And Institute,"134 Cricklewood Lane, London",NW2 2DP,51.559882,-0.209156,Barnet
Darren O'Brien,"243 Golders Green Road, London",NW11 9PN,51.578345,-0.208098,Barnet
David Lloyd Club,"David Lloyd Leisure Centre,  Leisure Way, London",N12 0QZ,51.605864,-0.17445,Barnet
East Barnet Golf Club,"East Barnet Golf Club,  Clifford Road, Barnet",EN5 5NY,51.656765,-0.181687,Barnet
East Barnet Valley United Services Club,"23 East Barnet Road, Barnet",EN4 8RN,51.64982,-0.171066,Barnet
East Finchley Constitutional Club,"East Finchley Constitutional Club,  The Walks, London",N2 8DE,51.592651,-0.168988,Barnet
Edgware Constitutional Club,"49 Manor Park Crescent, Edgware",HA8 7LY,51.612954,-0.278274,Barnet
Elephant Inn,"Elephant Inn, 283 Ballards Lane, London",N12 8NR,51.611398,-0.179861,Barnet
Finchley Bowling Club,"Finchley Bowling Club,  Etchingham Park Road, London",N3 2DT,51.606292,-0.182852,Barnet
Finchley Golf Club,"Nether Court,  Frith Lane, London",NW7 1PU,51.609861,-0.20212,Barnet
Finchley Lawn Tennis Club,"Finchley Lawn Tennis Club,  Brent Way, London",N3 1AJ,51.609074,-0.195898,Barnet
Finchley Lido,"Great North Leisure Park,  Chaplin Square, London",N12 0GL,51.604808,-0.173568,Barnet
"Finchley Manor Lawn Tennis, Squash And Health Club","Finchley Manor Lawn Tennis And Squash Rackets Club,  Lyndhurst Gardens, London",N3 1TD,51.6017,-0.204132,Barnet
Finchley United Services Club,"307 Ballards Lane, London",N12 8LY,51.612887,-0.177923,Barnet
Friary Park Bowling Club,"Friary Park,  Friary Road, London",N20 0NR,51.619381,-0.161845,Barnet
Funky Brownz,"63 The Hyde, London",NW9 6LE,51.583949,-0.248149,Barnet
Gallery,"407 Hendon Way, London",NW4 3LH,51.582063,-0.227351,Barnet
Gate Lodge,"622 Finchley Road, London",NW11 7RR,51.571131,-0.195092,Barnet
Gertie Brownes,"95 High Road, London",N2 8AG,51.590744,-0.164936,Barnet
Grahame Park Youth Centre,"Grahame Park Young Peoples Activity Centre,  Corner Mead, London",NW9 5RA,51.603194,-0.241026,Barnet
Guns And Smoke,"1 Church Passage, Barnet",EN5 4QS,51.653559,-0.201808,Barnet
Hadley Hotel,"Hadley Hotel, 113 Hadley Road, Barnet",EN5 5QN,51.656541,-0.18346,Barnet
Hampstead Golf Club,"82 Winnington Road, London",N2 0TU,51.572068,-0.174246,Barnet
Hendon Golf Club,"Hendon Golf Club,  Ashley Walk, London",NW7 1DG,51.607016,-0.220184,Barnet
Hendon Rugby Football Club,"Hendon Rugby Football Club,  Greenlands Lane, London",NW4 1RL,51.603873,-0.226415,Barnet
Hendon Sea Training Corps,"Hendon Sea Cadet Hall,  Cool Oak Lane, London",NW9 7ND,51.574134,-0.24603,Barnet
Hind & Hart,"Hind And Hart,  The Concourse, London",NW9 5XA,51.602516,-0.245009,Barnet
Hoop Lane Montessori School,"31 Hoop Lane, London",NW11 8BS,51.575365,-0.197882,Barnet
Joiners Arms,"Joiners Arms, 51 Ballards Lane, London",N3 1XP,51.603347,-0.191331,Barnet
Keenans,"Keenans, 87 Colney Hatch Lane, London",N10 1LR,51.5995,-0.147603,Barnet
Kings Head,"The Kings Head, 84 High Street, Barnet",EN5 5SN,51.653473,-0.200887,Barnet
Laboratory Spa & Health Club,"1 Hall Lane, London",NW4 4TJ,51.599968,-0.23575,Barnet
Lambo Bar,"The Tavern, 75 Cricklewood Lane, London",NW2 1HR,51.560706,-0.207767,Barnet
Lord Kitchener,"Lord Kitchener, 49 East Barnet Road, Barnet",EN4 8RN,51.64982,-0.171066,Barnet
Lucky 7 - Wine Bar,"7 Cricklewood Lane, London",NW2 1ET,51.557345,-0.214982,Barnet
Maccabi London Brady,"Rowley Lane Sports Ground,  Rowley Lane, Barnet",EN5 3HW,51.654358,-0.245132,Barnet
Mill Hill Golf Club,"Mill Hill Golf Club, 100 Barnet Way, London",NW7 3AL,51.628706,-0.253159,Barnet
Mill Hill Rugby Club,"Mill Hill Rugby Football Club,  Champions Way, London",NW7 2EQ,51.604841,-0.232139,Barnet
Mill Hill Services Club,"Mill Hill Services Club Ltd, 11 Hartley Avenue, London",NW7 2HX,51.615101,-0.243484,Barnet
Mill Hill Sports Club,"The Orion Primary School,  Grahame Park Way, London",NW7 2AL,51.607796,-0.24752,Barnet
Mill Hill Village Sports Club,"The Mill Hill Cricket Club,  Burtonhole Lane, London",NW7 1AS,51.620624,-0.216777,Barnet
New Barnet Community Centre,"50 Victoria Road, Barnet",EN4 9PF,51.650621,-0.170513,Barnet
North Middlesex Golf Club,"North Middlesex Golf Club,  Friern Barnet Lane, London",N20 0NL,51.621961,-0.165801,Barnet
Oak Hill Bowls Club,"Oak Hill Park,  Parkside Gardens, Barnet",EN4 8JS,51.636047,-0.148874,Barnet
O'Hanlons PH,"O'Hanlons, 210 West Hendon Broadway, London",NW9 7EE,51.577149,-0.238972,Barnet
Old Elizabethans Social Club,"Old Elizabethans (Barnet) Memorial Playing Field,  Mays Lane, Barnet",EN5 2AG,51.638437,-0.228636,Barnet
Old Fold Manor Artisans Golf Club,"Old Fold Manor Golf Club,  Old Fold Lane, Barnet",EN5 4QN,51.664515,-0.200276,Barnet
Old Fold Manor Golf Club,"Old Fold Manor Golf Club,  Old Fold Lane, Barnet",EN5 4QN,51.664515,-0.200276,Barnet
Orange Tree Public House,"Orange Tree, 7 Totteridge Village, London",N20 8NX,51.630007,-0.196426,Barnet
Osidge Arms,"Osidge Arms,  Hampden Square, London",N14 5JP,51.632159,-0.142414,Barnet
Oxi Football Club,"232 Woodhouse Road, London",N12 0RS,51.611474,-0.162815,Barnet
Papillion Lounge Bar,"The Market Place,  Falloden Way, London",NW11 6JJ,51.585643,-0.182709,Barnet
Powerleague Fives Limited,"Powerleague Soccer Centre, 31 Pursley Road, London",NW7 2BB,51.607539,-0.226777,Barnet
Prince Of Wales,"Prince Of Wales, 2 Church Hill Road, Barnet",EN4 8TB,51.641566,-0.16303,Barnet
Queens Arms,"Queens Arms,  Great North Road, Barnet",EN5 1AB,51.646658,-0.188061,Barnet
Railway Tavern,"Railway Tavern, 129 Hale Lane, London",NW7 3SB,51.616401,-0.258918,Barnet
Railway Tavern,"Railway Tavern, 3 East Barnet Road, Barnet",EN4 8RR,51.650187,-0.174448,Barnet
Royal British Legion,"38 Brookhill Road, Barnet",EN4 8SL,51.644177,-0.162115,Barnet
Safari Club,"Highwood Court, 975 High Road, London",N12 8QR,51.621936,-0.176925,Barnet
Sebright Arms,"Sebright Arms, 9 Alston Road, Barnet",EN5 4ET,51.656111,-0.207592,Barnet
South Herts Golf Club,"South Herts Golf Club,  Links Drive, London",N20 8QU,51.632376,-0.187922,Barnet
Southover Pre School,"Old Finchleians Club, 12 Southover, London",N12 7JE,51.619205,-0.190484,Barnet
St Barnabas,"St Barnabas Church,  Holden Road, London",N12 7DN,51.617254,-0.186993,Barnet
St Edwards Church Social Club,"St Edward The Confessor Roman Catholic Church, 700 Finchley Road, London",NW11 7NE,51.576351,-0.196501,Barnet
St Peter's Social Club,"63 Somerset Road, Barnet",EN5 1RF,51.648205,-0.1771,Barnet
Tally Ho Public House,"749 High Road, London",N12 0BP,51.613746,-0.17643,Barnet
Templars Lawn Tennis Club,"Templars Lawn Tennis Club,  St Andrews Road, London",NW11 0PJ,51.578113,-0.200602,Barnet
The Adam & Eve,"Adam And Eve,  The Ridgeway, London",NW7 1RL,51.616258,-0.218277,Barnet
The Alexandra,"The Alexandra, 1 Church Lane, London",N2 8DX,51.594258,-0.169978,Barnet
The Arena Club,"17 Central Circus, London",NW4 3AS,51.583142,-0.226746,Barnet
The Arkley,"The Arkley Public House, 2 Barnet Road, Barnet",EN5 3EP,51.652155,-0.220585,Barnet
The Beaufort,"2 Heritage Avenue, London",NW9 5AA,51.596531,-0.242857,Barnet
The Black Horse,"The Black Horse, 92 Wood Street, Barnet",EN5 4BW,51.653318,-0.204868,Barnet
The Bodhran PH,"3 Vivian Avenue, London",NW4 3UT,51.582481,-0.228229,Barnet
The Bohemia,"762 High Road, London",N12 9QH,51.615435,-0.176348,Barnet
The Bridge Tavern,"9 The Broadway, London",NW7 3LN,51.614238,-0.248948,Barnet
The Chandos Arms,"The New Chandos, 31 Colindale Avenue, London",NW9 5DS,51.59312,-0.255881,Barnet
The Chequers PH,"The Chequers, 20 Church End, London",NW4 4JT,51.591187,-0.227097,Barnet
The Claddagh Ring,"The Claddagh Ring, 10 Church Road, London",NW4 4EA,51.590174,-0.226126,Barnet
The Cock & Dragon,"The Cock And Dragon,  Chalk Lane, Enfield",EN4 9HU,51.654507,-0.154541,Barnet
The Dick Turpin,"Tavern Lodge, 383 Long Lane, London",N2 8JW,51.595198,-0.176682,Barnet
The Dignity,"363 Regents Park Road, London",N3 1DH,51.600882,-0.19475,Barnet
The Five Bells,"Five Bells, 165 East End Road, London",N2 0LZ,51.590286,-0.171898,Barnet
The Gate Public House,"The Gate, 195 Barnet Road, Barnet",EN5 3LA,51.642026,-0.242443,Barnet
The Gower Club,"University College School Sports Ground,  Ranulf Road, London",NW2 2BS,51.558309,-0.200966,Barnet
The Greek Chef,"Glebelands Indoor Bowls Club,  Summers Lane, London",N12 0PD,51.606027,-0.172783,Barnet
The Griffin,"The Griffin, 1262 High Road, London",N20 9HH,51.630444,-0.174648,Barnet
The Hendon,"The Hendon, 377 Hendon Way, London",NW4 3LP,51.581439,-0.227072,Barnet
The Jolly Badger,"128 Hale Lane, Edgware",HA8 9RZ,51.617259,-0.261037,Barnet
The Lord Nelson,"14 West End Lane, Barnet",EN5 2SA,51.652357,-0.210804,Barnet
The Midland Hotel,"The Midland Hotel Public House, 29 Station Road, London",NW4 4PN,51.580713,-0.23742,Barnet
The Moon Under  Water,"Varley Parade,  The Hyde, London",NW9 6RR,51.587362,-0.250905,Barnet
The Old White Lion,"Old White Lion, 121 Great North Road, London",N2 0NW,51.587342,-0.164756,Barnet
The Original Brewing Co,"Great North Leisure Park,  Chaplin Square, London",N12 0GL,51.604808,-0.173568,Barnet
The Pavillion Bar,"Barnet Cricket And Hockey Club,  Barnet Lane, Barnet",EN5 2DN,51.645852,-0.192993,Barnet
The Red Filly,"Thornfield Parade,  Holders Hill Road, London",NW7 1LN,51.604483,-0.207358,Barnet
The Refectory,"The Refectory, 911 Finchley Road, London",NW11 7PE,51.57392,-0.196338,Barnet
The Rising Sun,"137 Marsh Lane, London",NW7 3EY,51.62342,-0.257436,Barnet
The Royal British Legion,"New Edgware Royal British Legion Club,  Parnell Close, Edgware",HA8 8YE,51.622718,-0.267763,Barnet
The Spaniards Inn,"The Spaniards Inn,  Spaniards Road, London",NW3 7JJ,51.569738,-0.174166,Barnet
The Village Royal British Legion,"St Johns Buildings,  Friern Barnet Road, London",N11 3DP,51.613459,-0.154675,Barnet
The Weavers,"Greenhill Parade,  Great North Road, Barnet",EN5 1EU,51.64609,-0.186262,Barnet
The Windsor Castle,"Windsor Castle,  The Walks, London",N2 8DL,51.593584,-0.171189,Barnet
The Woodhouse,"230 Woodhouse Road, London",N12 0RS,51.611474,-0.162815,Barnet
The York Arms,"York Arms, 310 Oakleigh Road North, London",N20 0DH,51.625127,-0.15894,Barnet
Three Hammers Public House,"Three Hammers,  Hammers Lane, London",NW7 4EA,51.620942,-0.234258,Barnet
Three Horseshoes Public House,"Three Horseshoes, 1166 High Road, London",N20 0RA,51.627076,-0.174928,Barnet
Toby Carvery,"Toby Carvery, 31 High Street, Barnet",EN5 5UW,51.6528,-0.199829,Barnet
Tommy Flynn's,"Finchley Tavern, 686 High Road, London",N12 9PT,51.612815,-0.175543,Barnet
Toolans,"866 High Road, London",N12 9RH,51.618772,-0.176431,Barnet
Totteridge Cricket Club,"Totteridge Cricket Club,  Totteridge Green, London",N20 8PB,51.627895,-0.194169,Barnet
Totteridge Tennis Club,"Totteridge Tennis Club,  Great Bushey Drive, London",N20 8QL,51.632783,-0.181678,Barnet
Virgin Active,"34 Langstone Way, London",NW7 1GU,51.607696,-0.210481,Barnet
Virgin Active - Friern Barnet,"Princess Park Manor,  Royal Drive, London",N11 3BG,51.612786,-0.147871,Barnet
Virgin Active Cricklewood,"108 Cricklewood Lane, London",NW2 2DS,51.559324,-0.209726,Barnet
Wallace Bar,"1023 Finchley Road, London",NW11 7ES,51.579555,-0.198453,Barnet
Waterfall Tennis Club,"The Pavilion,  Pymmes Green Road, London",N11 1DD,51.623132,-0.137972,Barnet
West Finchley Bowling Club,"6 Dudley Road, London",N3 2QR,51.596829,-0.185583,Barnet
White Lion,"The White Lion, 50 St Albans Road, Barnet",EN5 4LA,51.658092,-0.204203,Barnet
Wilf Slack Sports Club,"19 East End Road, London",N3 2SU,51.596561,-0.191557,Barnet
Wingate & Finchley FC,"Wingate And Finchley Football Club,  Summers Lane, London",N12 0PD,51.606027,-0.172783,Barnet
Woodside Park Club,"Woodside Park Club,  Southover, London",N12 7JG,51.61988,-0.191049,Barnet
Ye Olde Mitre Inne,"Ye Olde Mitre Inne, 58 High Street, Barnet",EN5 5SJ,51.653111,-0.199557,Barnet
Ye Olde Monken Holt,"Ye Olde Monken Holt, 193 High Street, Barnet",EN5 5SU,51.657808,-0.201496,Barnet
Arcadia Lounge Bar,"247 Broadway, Bexleyheath, Kent",DA6 8DB,51.457454,0.137831,Bexley
Bar Lorca,"61-63 Bexley High Street, Bexley, Kent",DA5 1AA,51.441791,0.149978,Bexley
Barge Pole Public House,"32 Coralline Walk, Abbey Wood, London",SE2 9SU,51.495121,0.121714,Bexley
Barnehurst Golf Club,"Barnehurst Golf Course, Mayplace Road East, Bexleyheath, Kent",DA7 6JU,51.460348,0.169205,Bexley
Bear & Ragged Staff,"2 London Road, Crayford, Kent",DA1 4BH,51.451812,0.177091,Bexley
Bellegrove Social Club,"90 Bellegrove Road, Welling, Kent",DA16 3QD,51.463566,0.101678,Bexley
Belvedere North Conservative Club,"2 Paroma Road, Belvedere, Kent",DA17 5AA,51.49078,0.147241,Bexley
Belvedere Social Club,"27-35 Nuxley Road, Belvedere, Kent",DA17 5JQ,51.482537,0.146551,Bexley
Belvedere Sports & Social Club,"Belvedere Sports Club, 101A Woolwich Road, Abbey Wood, London",SE2 0DY,51.482981,0.136519,Bexley
Belvedere Working Men's Club,"66 Gilbert Road, Belvedere, Kent",DA17 5DA,51.491457,0.146624,Bexley
Bexley & Sidcup Conservative Club,"19 Station Road, Sidcup, Kent",DA15 7EB,51.427957,0.101008,Bexley
Bexley And Lewisham Sea Cadets (TS Caprice),"Bexleyheath Sea Cadets Headquarters, Trinity Place, Bexleyheath, Kent",DA6 7AY,51.458147,0.138741,Bexley
Bexley Deaf Club,"Inspire Community Centre, Whitehall Lane, Erith, Kent",DA8 2DH,51.466503,0.184024,Bexley
Bexley Lawn Tennis & Squash Club,"Parkhurst Road, Bexley, Kent",DA5 1AX,51.444888,0.148267,Bexley
Bexleyheath And District Club For The Disabled,"Barton Close, Bexleyheath, Kent",DA6 8JP,51.453411,0.132618,Bexley
Bexleyheath Conservative Club,"151 Broadway, Bexleyheath, Kent",DA6 7EZ,51.456845,0.142092,Bexley
Bexleyheath Golf Club,"Mount Road, Bexleyheath, Kent",DA6 8JS,51.452149,0.12935,Bexley
Bexleyheath Working Mens Club,"Royal Oak Road, Bexleyheath, Kent",DA6 7HG,51.455237,0.142002,Bexley
Black Horse Public House,"63 Albert Road, Bexley, Kent",DA5 1NT,51.445362,0.149902,Bexley
Blue Chef,"Bexleyheath Golf Club, Mount Road, Bexleyheath, Kent",DA6 8JS,51.452149,0.12935,Bexley
Burnt Ash (Bexley) Hockey Club,"Manor Way, Bexley, Kent",DA5 3QG,51.438742,0.144094,Bexley
Cafe Vita @ Erith Leisure Centre,"Erith Sports Centre, Avenue Road, Erith, Kent",DA8 3AT,51.476979,0.17443,Bexley
Celebrations,"59 Lion Road, Bexleyheath, Kent",DA6 8NW,51.456242,0.136205,Bexley
Coach & Horses Public House,"35 North Cray Road, Bexley, Kent",DA5 3NE,51.438439,0.152253,Bexley
Corner Pin Public House,"Slade Green Road, Erith, Kent",DA8 2HX,51.472256,0.191874,Bexley
Crayford Arms,"37 Crayford High Street, Crayford, Dartford, Kent",DA1 4HH,51.452319,0.17736,Bexley
Crayford Arrows Sports Club,"Bakers Field Sports Ground, 96 Perry Street, Crayford, Dartford",DA1 4RJ,51.455759,0.177106,Bexley
Crayford Social Club,"The Parade, Crayford Way, Crayford, Dartford",DA1 4JA,51.452037,0.179491,Bexley
Danson Stables,"Danson Park, Danson Road, Bexleyheath, Kent",DA6 8HL,51.45578,0.122567,Bexley
Dartfordian Community Sports Club,"War Memorial Club House, Bourne Road, Bexley, Kent",DA5 1LW,51.443407,0.151594,Bexley
Dashwood Social Club,"2 Limestone Walk, Erith, Kent",DA18 4BW,51.495849,0.129643,Bexley
David Lloyd Centre,"Baugh Road, Sidcup, Kent",DA14 5ED,51.420617,0.117111,Bexley
Duke Of Wellington,"92 London Road, Crayford, Kent",DA1 4BT,51.452134,0.172803,Bexley
Earl Haig Public House,"The Pantiles, Bexleyheath, Kent",DA7 5HH,51.473324,0.140459,Bexley
Erith Rugby Football Club,"Sussex Road, Erith, Kent",DA8 1JB,51.47455,0.154485,Bexley
Erith Veterans Club,"Erith Veterans Club, Park Crescent, Erith, Kent",DA8 3DE,51.478591,0.177661,Bexley
Erith Working Men's Club,"Valley Road, Erith, Kent",DA8 1BT,51.487236,0.166851,Bexley
Falconwood Private Members' Club,"Falconwood Avenue, Welling, Kent",DA16 2SG,51.463962,0.09159,Bexley
Flower Of Kent Social Club,"118 Maidstone Road, Sidcup, Kent",DA14 5HS,51.416104,0.123015,Bexley
Foots Cray Social Club,"23-27 Cray Road, Sidcup, Kent",DA14 5BY,51.417527,0.116422,Bexley
Goals Bexleyheath,"Goals Soccer Centre, Bexleyheath School, Graham Road, Bexleyheath",DA6 7DA,51.460119,0.143037,Bexley
Golden Lion,"260 Broadway, Bexleyheath, Kent",DA6 8BE,51.458063,0.135499,Bexley
Guy Earl Of Warwick,"Park View Road, Welling, Kent",DA16 1TA,51.461091,0.114809,Bexley
Halfway Public House,"165 Lower Road, Belvedere, Kent",DA17 6DQ,51.490518,0.161519,Bexley
Horse & Groom Harvester,"136 Main Road, Sidcup, Kent",DA14 6NZ,51.427213,0.093838,Bexley
Jolly Fenman,"64-68 Blackfen Road, Sidcup, Kent",DA15 8SW,51.451524,0.092144,Bexley
Jolly Millers,"111 Mayplace Road West, Bexleyheath, Kent",DA7 4JR,51.458432,0.152157,Bexley
Kings Arms,"156 Broadway, Bexleyheath, Kent",DA6 7DW,51.456966,0.14335,Bexley
London Borough Of Bexley,"Crayford And Barnehurst Youth And C, Woodside Road, Bexleyheath, Kent",DA7 6EQ,51.456887,0.16668,Bexley
Lord Kitchener Public House,"21 Wrotham Road, Welling, Kent",DA16 1LS,51.46937,0.121469,Bexley
Martin Dene Lawn Tennis Club,"Martin Dene, Bexleyheath, Kent",DA6 8NA,51.452119,0.138935,Bexley
Miller And Carter,"Hall Place, Bourne Road, Bexley, Kent",DA5 1PQ,51.448002,0.160402,Bexley
Montrose Park Club,"158 Hurst Road, Sidcup, Kent",DA15 9AJ,51.437418,0.115485,Bexley
Nags Head,"37 Welling High Street, Welling, Kent",DA16 1TR,51.46207,0.112839,Bexley
New Cross Turnpike,"55 Bellegrove Road, Welling, Kent",DA16 3PB,51.462826,0.104351,Bexley
North Heath Social Club,"8 Mill Road, Erith, Kent",DA8 1HN,51.473459,0.160942,Bexley
Nyne,"267 Broadway, Bexleyheath, Kent",DA6 8DB,51.457454,0.137831,Bexley
Old Bexley Ex Servicemans Club,"Bexley High Street, Bexley, Kent",DA5 1AB,51.441548,0.147981,Bexley
One Bell,"170 Old Road, Crayford, Dartford, Kent",DA1 4DY,51.453828,0.174582,Bexley
Phoenix Sports Club,"Mayplace Road East, Bexleyheath, Kent",DA7 6JT,51.45795,0.171006,Bexley
Plough And Harrow,"143 Bellegrove Road, Welling, Kent",DA16 3QS,51.463472,0.100378,Bexley
Prince Of Wales Public House,"13A Woolwich Road, Belvedere, Kent",DA17 5EE,51.483615,0.142209,Bexley
Priory Conservative Club,"169 Picardy Road, Belvedere, Kent",DA17 5QL,51.486477,0.14894,Bexley
Pure,"Albion Road, Bexleyheath, Kent",DA6 7LS,51.454982,0.146093,Bexley
Robin Hood & Little John,"78 Lion Road, Bexleyheath, Kent",DA6 8PF,51.454575,0.135926,Bexley
Rose & Crown,"15 Welling High Street, Welling, Kent",DA16 1TR,51.46207,0.112839,Bexley
Rose Public House,"179 Broadway, Bexleyheath, Kent",DA6 7ES,51.45694,0.14083,Bexley
Royal British Legion Club,"214A Iron Mill Lane, Crayford, Dartford, Kent",DA1 4PE,51.456488,0.19345,Bexley
Royal Oak,"270 Bexley Road, Erith, Kent",DA8 3HB,51.472571,0.161836,Bexley
Royal Oak,"68 Mount Road, Bexleyheath, Kent",DA6 8JS,51.452149,0.12935,Bexley
Running Horses,"Erith High Street, Erith, Kent",DA8 1QY,51.481667,0.181033,Bexley
Sidcup & District Conservative Club,"Oxford Road, Sidcup, Kent",DA14 6LW,51.420552,0.110751,Bexley
